hub,in_degree,in_volume,out_degree,out_volume,hub_delay_ratio,hub_breach_rate,betweenness,pagerank,clustering
IND415709AAA,1.0,16.0,2.0,6.0,2.1541501976284585,0.9545454545454546,0.0016127384444736342,0.0004498838818823953,0.0
IND416012AAA,5.0,45.0,5.0,47.0,1.7917874972468981,1.0,0.011679583169140506,0.0018316349227783747,0.1111111111111111
IND416122AAA,1.0,1.0,1.0,1.0,1.48903689732406,0.5,0.0,0.0001793767623885669,0.0
IND416404AAA,2.0,9.0,1.0,6.0,2.380952380952381,1.0,0.0020126391990308973,0.0007049728147527552,0.0
IND416510AAA,2.0,14.0,2.0,20.0,2.325757575757576,1.0,0.0012135674358188478,0.0006747327694827264,0.0
IND416602AAC,1.0,6.0,1.0,7.0,2.575,1.0,0.0008056394763343404,0.0002877000686733347,0.0
IND416606AAA,1.0,14.0,1.0,10.0,2.304924242424242,1.0,0.0,0.0005171092102974813,0.0
IND421004AAA,1.0,27.0,0.0,0.0,3.4,1.0,0.0,0.0005545776659972408,0.0
IND421301AAA,1.0,17.0,1.0,15.0,4.1,1.0,0.0,0.00039200934987056814,0.0
IND421302AAF,1.0,1.0,1.0,12.0,3.0,1.0,0.0,0.00013190004406789203,0.0
IND421302AAG,29.0,583.0,29.0,821.0,2.210526315789474,0.9992877492877493,0.05963884875286425,0.008211477584909437,0.06156156156156156
IND421302AAH,2.0,31.0,0.0,0.0,2.764705882352941,1.0,0.0,0.00027759287875540986,0.0
IND421302AAN,0.0,0.0,1.0,16.0,2.583333333333333,1.0,0.0,0.00011564321245522476,0.0
IND421302AAR,5.0,75.0,4.0,59.0,3.1143790849673203,1.0,0.0016291577272793613,0.0011284153707615387,0.0
IND421302AAS,1.0,2.0,0.0,0.0,4.630434782608695,1.0,0.0,0.00013253839494036407,0.0
IND421401AAC,1.0,10.0,1.0,11.0,2.764705882352941,1.0,0.0004053738488258388,0.00020065851022835253,1.0
IND421502AAA,0.0,0.0,1.0,17.0,3.5,1.0,0.0,0.00011564321245522476,0.0
IND421601AAB,1.0,11.0,1.0,14.0,3.0555555555555554,1.0,0.00040318461111840854,0.0002862029461493349,1.0
IND421802AAA,1.0,2.0,1.0,7.0,1.5753424657534247,0.7777777777777778,0.00040318461111840854,0.00042784168615784185,0.0
IND422011AAD,2.0,39.0,4.0,35.0,1.769627192982456,0.8378378378378378,0.004833836858006042,0.0008181586676724588,0.3
IND422103AAC,1.0,11.0,2.0,11.0,1.6228448275862069,0.5909090909090909,0.0008096530787979625,0.00033420845653345374,0.0
IND422605AAA,1.0,10.0,2.0,10.0,1.9177740863787376,1.0,0.0008070989681392939,0.0003738952015947265,0.3333333333333333
IND423105AAA,2.0,9.0,2.0,8.0,1.5151515151515151,1.0,4.013602463622167e-06,0.00035811432890111563,0.3333333333333333
IND423106AAA,2.0,6.0,1.0,8.0,1.475268817204301,0.9285714285714286,7.297459024767576e-06,0.0002601997032629336,1.0
IND423109AAA,3.0,16.0,3.0,14.0,1.65625,0.7666666666666667,0.0008089233328954858,0.0005452575184922387,0.6
IND423301AAB,1.0,7.0,0.0,0.0,1.5151515151515151,1.0,0.0,0.0003819907445754349,0.0
IND423601AAA,3.0,14.0,2.0,15.0,1.8909090909090909,0.9310344827586207,0.0008070989681392939,0.0005662731589113597,0.5
IND423701AAB,3.0,16.0,1.0,18.0,1.7666666666666666,0.9411764705882353,0.002011179707225944,0.0006164509763454578,0.8333333333333334
IND424006AAA,6.0,27.0,9.0,38.0,2.380952380952381,0.9846153846153847,0.003479246026533561,0.000952296481824601,0.09090909090909091
