source_center,destination_center,volume,unique_trips,median_delay_ratio,breach_rate,median_actual_minutes,median_osrm_minutes,median_distance_km,excess_minutes,median_dwell_proxy,path_cost,x0,y0,x1,y1,is_chronic_delay
IND110037AAM,IND781018AAB,1,1,2.145360155743024,1.0,3306.0,1541.0,2181.4607,1765.0,396.0,1.0,0.1461549749756001,-0.19054999878081674,0.333874555089723,-0.33290017193852783,True
IND110037AAM,IND811399AAA,11,11,2.1052631578947367,0.7272727272727273,80.0,38.0,32.967800000000004,584.0,176.0,0.30151134457776363,0.1461549749756001,-0.19054999878081674,0.28468430407811146,-0.2901493303034201,True
IND110044AAB,IND000000ACB,76,76,1.6528688524590165,0.9868421052631579,104.5,62.0,66.65395000000001,3837.0,77.0,0.11470786693528087,0.206167776080945,-0.14023418984616012,0.04410626785380089,0.044224360942262744,True
IND110044AAB,IND110037AAM,3,3,1.8666666666666667,1.0,43.0,22.0,24.686,67.0,76.0,0.5773502691896258,0.206167776080945,-0.14023418984616012,0.1461549749756001,-0.19054999878081674,True
IND110064AAA,IND000000ACB,39,39,2.0,0.8205128205128205,108.0,53.0,58.225899999999996,11452.0,30.0,0.16012815380508713,0.15710254267464713,0.01437128011761029,0.04410626785380089,0.044224360942262744,True
IND121002AAB,IND000000ACB,29,29,1.7882352941176471,0.9310344827586207,134.0,66.0,71.7813,2781.0,75.0,0.18569533817705186,-0.0366836776203229,0.21831025283559288,0.04410626785380089,0.044224360942262744,True
IND121004AAB,IND000000ACB,34,34,1.8152096659559347,1.0,118.5,63.0,65.1463,2327.0,23.5,0.17149858514250882,0.15075981878460828,-0.06218302926241651,0.04410626785380089,0.044224360942262744,True
IND121004AAB,IND110037AAM,37,37,2.5217391304347827,1.0,65.0,25.0,28.6533,1626.0,30.0,0.1643989873053573,0.15075981878460828,-0.06218302926241651,0.1461549749756001,-0.19054999878081674,True
IND134109AAA,IND160002AAC,15,15,10.0,1.0,475.0,36.0,35.230599999999995,5995.0,82.0,0.2581988897471611,0.4625899582658081,0.19313470783863013,0.17930770530329396,0.06426578435833179,True
IND144001AAB,IND000000ACA,23,23,2.3620689655172415,1.0,122.0,52.0,75.6466,1673.0,18.0,0.20851441405707477,0.2882766465494406,0.22064079310989024,0.3414021361273085,0.19219144951699532,True
IND144001AAB,IND160002AAC,1,1,5.349206349206349,1.0,674.0,126.0,179.25220000000002,548.0,191.0,1.0,0.2882766465494406,0.22064079310989024,0.17930770530329396,0.06426578435833179,True
IND152026AAA,IND000000ACA,19,19,4.0,1.0,548.0,138.0,183.2283,7782.0,75.0,0.22941573387056174,0.39904551653164116,0.2530437614994622,0.3414021361273085,0.19219144951699532,True
IND152026AAA,IND160002AAC,1,1,3.9950738916256157,1.0,811.0,203.0,256.9996,608.0,164.0,1.0,0.39904551653164116,0.2530437614994622,0.17930770530329396,0.06426578435833179,True
IND160002AAC,IND000000ACA,28,28,1.420807453416149,0.8928571428571429,125.5,91.0,128.72305,1257.0,153.5,0.1889822365046136,0.17930770530329396,0.06426578435833179,0.3414021361273085,0.19219144951699532,True
IND160002AAC,IND000000ACB,66,66,1.9289927574105876,1.0,421.0,218.0,293.52405,15266.0,236.5,0.12309149097933272,0.17930770530329396,0.06426578435833179,0.04410626785380089,0.044224360942262744,True
IND160002AAC,IND110037AAM,9,9,1.7659574468085106,1.0,334.0,185.0,234.34890000000001,1353.0,171.0,0.3333333333333333,0.17930770530329396,0.06426578435833179,0.1461549749756001,-0.19054999878081674,True
IND160002AAC,IND144001AAB,13,13,2.1818181818181817,1.0,243.0,117.0,160.7878,1937.0,339.0,0.2773500981126146,0.17930770530329396,0.06426578435833179,0.2882766465494406,0.22064079310989024,True
IND160002AAC,IND421302AAG,1,1,2.274586939417781,1.0,2891.0,1271.0,1679.658,1620.0,406.0,1.0,0.17930770530329396,0.06426578435833179,-0.09652734779696122,-0.25429256805432443,True
IND160002AAC,IND562132AAA,1,1,2.0300429184549356,1.0,3784.0,1864.0,2500.2145,1920.0,18.0,1.0,0.17930770530329396,0.06426578435833179,-0.0394965708592197,-0.06958317239877138,True
IND177033AAA,IND160002AAC,18,18,2.894484678293428,1.0,583.0,200.5,213.9098,6724.0,90.0,0.23570226039551587,0.33074630031653124,0.3299173137428575,0.17930770530329396,0.06426578435833179,True
IND208012AAA,IND209304AAA,13,13,10.0,1.0,666.0,19.0,22.862299999999998,7679.0,487.0,0.2773500981126146,0.4229878397055964,-0.3442688994263448,0.26355878421243734,-0.19265559625247877,True
IND209304AAA,IND000000ACB,35,35,1.3771929824561404,0.9142857142857143,643.0,466.0,575.2955000000001,7166.0,193.0,0.1690308509457033,0.26355878421243734,-0.19265559625247877,0.04410626785380089,0.044224360942262744,True
IND209304AAA,IND110037AAM,6,6,1.7730060538069132,1.0,784.0,417.0,524.42525,2592.0,97.0,0.4082482904638631,0.26355878421243734,-0.19265559625247877,0.1461549749756001,-0.19054999878081674,True
IND209304AAA,IND208012AAA,21,21,1.037037037037037,0.47619047619047616,34.0,27.0,36.6229,162.0,112.0,0.2182178902359924,0.26355878421243734,-0.19265559625247877,0.4229878397055964,-0.3442688994263448,False
IND210501AAB,IND209304AAA,16,16,2.589681903234429,1.0,224.0,87.0,115.73825,2069.0,38.5,0.25,0.5315436198841215,-0.37245665409905515,0.26355878421243734,-0.19265559625247877,True
IND302014AAA,IND000000ACB,23,23,1.6850828729281768,1.0,316.0,181.0,237.6801,2799.0,186.0,0.20851441405707477,0.06700878042487779,-0.027947844933940324,0.04410626785380089,0.044224360942262744,True
IND302014AAA,IND110037AAM,14,14,1.563856486390951,1.0,353.5,230.5,293.9481,1893.0,171.5,0.2672612419124244,0.06700878042487779,-0.027947844933940324,0.1461549749756001,-0.19054999878081674,True
IND380021AAA,IND382430AAB,32,32,2.3125,1.0,38.0,16.0,18.83605,1505.0,33.5,0.17677669529663687,0.14911528014520042,0.16954972813832664,-0.0164182202548391,-0.021805891852737822,True
IND382430AAB,IND000000ACB,17,17,1.829153605015674,1.0,1169.0,643.0,903.754,11480.0,341.0,0.24253562503633297,-0.0164182202548391,-0.021805891852737822,0.04410626785380089,0.044224360942262744,True
IND382430AAB,IND395023AAA,30,30,1.8013943785682915,1.0,372.5,207.5,282.85715,4891.0,352.0,0.18257418583505536,-0.0164182202548391,-0.021805891852737822,-0.062195653663667985,-0.1503931292420083,True
IND395023AAA,IND110037AAM,18,18,1.736656001028649,1.0,1543.5,892.5,1181.7478999999998,12101.0,412.5,0.23570226039551587,-0.062195653663667985,-0.1503931292420083,0.1461549749756001,-0.19054999878081674,True
IND395023AAA,IND382430AAB,21,21,1.693121693121693,1.0,336.0,195.0,271.5415,3015.0,132.0,0.2182178902359924,-0.062195653663667985,-0.1503931292420083,-0.0164182202548391,-0.021805891852737822,True
