source_center,destination_center,volume,unique_trips,median_delay_ratio,breach_rate,median_actual_minutes,median_osrm_minutes,median_distance_km,excess_minutes,median_dwell_proxy,path_cost,breached_legs,breached_trips,sla_breach_contribution_pct,is_chronic_delay,source_name,destination_name,corridor,corridor_score
IND411033AAA,IND411014AAA,43,43,2.6785714285714284,1.0,75.0,28.0,26.087500000000002,2524.0,76.0,0.15249857033260467,43,43,0.09629015841333352,True,Pune_Tathawde_H (Maharashtra),PNQ Vadgaon Sheri DPC (Maharashtra),IND411033AAA → IND411014AAA,0.2633704360314509
IND792121AAB,IND786181AAC,11,11,10.0,1.0,896.0,29.0,42.0052,6138.0,14.0,0.30151134457776363,11,11,0.2341636261256106,True,Jairampur_Mdiclcly_D (Arunachal Pradesh),Margherita_CivilHPL_D (Assam),IND792121AAB → IND786181AAC,0.26158046428758586
IND600032AAB,IND600056AAB,64,64,1.8873015873015873,1.0,61.5,33.0,38.776849999999996,2583.0,46.0,0.125,64,64,0.09854099809098275,True,Chennai_Hub (Tamil Nadu),MAA_Poonamallee_HB (Tamil Nadu),IND600032AAB → IND600056AAB,0.2611383867827579
IND600056AAB,IND600008AAC,32,32,3.182981090100111,1.0,100.5,33.0,43.611000000000004,2502.0,74.5,0.17677669529663687,32,32,0.09545086226234567,True,MAA_Poonamallee_HB (Tamil Nadu),Chennai_Egmore_DPC (Tamil Nadu),IND600056AAB → IND600008AAC,0.2610000524026621
IND000000ACT,IND000000ACB,100,100,1.3281794425087108,0.72,57.0,42.0,43.71255,2710.0,150.0,0.1,72,72,0.10338602587168534,True,Delhi_Gateway_HB (Delhi),Gurgaon_Bilaspur_HB (Haryana),IND000000ACT → IND000000ACB,0.2604465742917382
IND400102AAC,IND421302AAG,28,28,3.0343915343915344,1.0,93.5,28.5,33.02295,2995.0,88.5,0.1889822365046136,28,28,0.11425872600948253,True,Mumbai_Jogshwri_I (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),IND400102AAC → IND421302AAG,0.25954189592831317
IND421302AAG,IND501359AAE,24,24,1.6108081675890515,1.0,1107.5,681.0,842.86905,10390.0,339.0,0.20412414523193154,24,24,0.3963766822165354,True,Bhiwandi_Mankoli_HB (Maharashtra),Hyderabad_Shamshbd_H (Telangana),IND421302AAG → IND501359AAE,0.25844515301552856
IND851127AAA,IND842001AAA,16,16,4.3556469298245615,1.0,416.0,95.0,111.10435000000001,4866.0,44.0,0.25,16,16,0.1856370486684948,True,Manjhaul_Purbari_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),IND851127AAA → IND842001AAA,0.2582487030341142
IND834002AAB,IND827013AAA,17,17,3.0725806451612905,1.0,390.0,124.0,137.6455,4627.0,163.0,0.24253562503633297,17,17,0.17651924048276316,True,Ranchi_Hub (Jharkhand),Bokaro_KSClny_DC (Jharkhand),IND834002AAB → IND827013AAA,0.2577034009327674
IND585307AAB,IND585104AAA,17,17,4.430769230769231,1.0,297.0,67.0,73.6761,4591.0,197.0,0.24253562503633297,17,17,0.17514584678114667,True,Chincholi_Mainroad_D (Karnataka),Gulbarga_Nehrugnj_I (Karnataka),IND585307AAB → IND585104AAA,0.25742042655766917
IND249201AAA,IND249407AAA,17,17,7.88,1.0,197.0,27.0,21.7934,4528.0,348.0,0.24253562503633297,17,17,0.17274240780331782,True,Rishikesh_DC (Uttarakhand),Haridwar (Uttarakhand),IND249201AAA → IND249407AAA,0.2569252214012472
IND000000ACB,IND821115AAB,18,18,1.764427507975895,1.0,1326.5,741.5,1052.1834,10244.0,183.0,0.23570226039551587,18,18,0.3908068077599796,True,Gurgaon_Bilaspur_HB (Haryana),Sasaram_Central_I_2 (Bihar),IND000000ACB → IND821115AAB,0.2552569056798017
IND249407AAA,IND131028AAB,18,18,2.6666567128523653,1.0,488.0,182.0,178.05235,5691.0,34.5,0.23570226039551587,18,18,0.21711065433053922,True,Haridwar (Uttarakhand),Sonipat_Kundli_H (Haryana),IND249407AAA → IND131028AAB,0.2544687785080093
IND600056AAB,IND600032AAB,52,52,2.2115749525616697,1.0,78.0,32.5,37.9987,2142.0,48.0,0.1386750490563073,52,52,0.08171692524618082,True,MAA_Poonamallee_HB (Tamil Nadu),Chennai_Hub (Tamil Nadu),IND600056AAB → IND600032AAB,0.25425152089185926
