source_center,destination_center,route_type,time_bucket,edge_observations,unique_trips,median_delay_ratio,median_actual_minutes,median_osrm_minutes,breach_rate,excess_minutes,fallback_delay_ratio,delay_ratio_weight
IND282002AAD,IND281004AAA,FTL,night,8,8,1.0054347826086958,93.0,92.5,0.125,40.0,1.8226866738120757,1.589186133468253
IND282002AAD,IND474003AAA,FTL,afternoon,6,6,1.2630759651307595,189.5,150.0,0.6666666666666666,365.0,1.7676767676767677,1.651230428627689
IND282002AAD,IND474003AAA,FTL,evening,3,3,1.169811320754717,186.0,159.0,0.3333333333333333,132.0,1.7703025992499675,1.691977649881022
IND283122AAB,IND282005AAA,Carting,night,3,3,10.0,401.0,23.0,1.0,1432.0,2.125,3.152173913043478
IND283122AAB,IND328001AAA,FTL,night,7,7,1.0923076923076922,72.0,66.0,0.14285714285714285,44.0,1.8226866738120757,1.633329160088717
IND283203AAA,IND110037AAM,Carting,night,1,1,1.2055555555555555,434.0,360.0,1.0,74.0,2.125,2.081216931216931
IND283203AAA,IND110037AAM,FTL,night,12,12,1.6102443792766374,430.5,270.0,0.9166666666666666,1683.0,1.8226866738120757,1.7430208133612863
IND283203AAA,IND282002AAD,FTL,night,1,1,2.176470588235294,74.0,34.0,1.0,40.0,1.8226866738120757,1.8395335268798483
IND284001AAA,IND284403AAA,FTL,night,6,6,1.7367479674796749,138.5,79.0,0.8333333333333334,338.0,1.8226866738120757,1.802854664658445
IND284403AAA,IND472001AAA,FTL,morning,2,2,1.1979245283018867,123.5,103.0,0.5,41.0,1.8750586854460094,1.813501034796544
IND284403AAA,IND474003AAA,FTL,morning,1,1,2.5048076923076925,521.0,208.0,1.0,313.0,1.8750586854460094,1.905046733391804
IND285001AAD,IND285205AAB,FTL,morning,1,1,1.34375,43.0,32.0,1.0,11.0,1.8750586854460094,1.8497582718533425
IND285001AAD,IND285205AAB,FTL,night,20,20,1.484375,46.0,31.0,0.9,344.0,1.8226866738120757,1.6535308369060382
IND285205AAB,IND210431AAA,FTL,morning,4,4,2.075,166.0,80.0,1.0,384.0,1.8750586854460094,1.9083822378716746
IND285205AAB,IND210431AAA,FTL,night,1,1,2.575,206.0,80.0,1.0,126.0,1.8226866738120757,1.8585111179162628
IND301001AAB,IND302014AAA,FTL,evening,2,2,2.318604651162791,306.5,132.0,1.0,349.0,1.7703025992499675,1.8201482403329514
IND301001AAB,IND321001AAB,FTL,late_evening,13,13,1.7647058823529411,114.0,64.0,1.0,694.0,1.8333333333333333,1.8062982768865121
IND301001AAB,IND321606AAA,FTL,late_evening,3,3,2.0704225352112675,155.0,79.0,1.0,313.0,1.8333333333333333,1.8642580118391507
IND301019AAA,IND123001AAA,FTL,late_evening,2,2,2.5198514344262293,156.5,62.5,1.0,188.0,1.8333333333333333,1.8957440697963237
IND301019AAA,IND301705AAA,FTL,late_evening,6,6,3.3478260869565215,156.0,46.0,1.0,665.0,1.8333333333333333,2.1828316610925307
IND301705AAA,IND123001AAA,FTL,night,1,1,2.051282051282051,80.0,39.0,1.0,41.0,1.8226866738120757,1.8335721679773127
